----------------------------------------
Begin Torque Prologue on nid25427
at Sat Nov  9 13:15:12 CST 2019
Job Id:			10608750.bw
Username:		tra207
Group:			TRAIN_bayw
Job name:		6b
Requested resources:	nodes=01:ppn=16:xk,walltime=48:00:00,neednodes=01:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.118 elapsed
----------------------------------------




Files already downloaded and verified
Testing 26.602056962025316 | Time:  772.0121619701385
Testing 37.61867088607595 | Time:  1549.200441122055
Testing 45.816851265822784 | Time:  2326.944571495056
Testing 50.81091772151899 | Time:  3105.2964804172516
Testing 54.2128164556962 | Time:  3883.8766598701477
Testing 56.34889240506329 | Time:  4662.336658477783
Testing 59.36511075949367 | Time:  5441.088675022125
Testing 59.72112341772152 | Time:  6219.004686117172
Testing 62.34177215189873 | Time:  6997.128737688065
Testing 64.54707278481013 | Time:  7775.396790504456
Testing 64.76463607594937 | Time:  8554.708735466003
Testing 66.51503164556962 | Time:  9333.532811641693
Testing 68.09731012658227 | Time:  10112.268739461899
Testing 68.36431962025317 | Time:  10891.072657585144
Testing 67.74129746835443 | Time:  11669.124571323395
Testing 70.30261075949367 | Time:  12447.52472448349
Testing 69.77848101265823 | Time:  13225.832745552063
Testing 71.01463607594937 | Time:  14005.124780654907
Testing 70.75751582278481 | Time:  14783.780824899673
Testing 71.03441455696202 | Time:  15562.840848207474
Testing 70.95530063291139 | Time:  16341.580670833588
Testing 72.92325949367088 | Time:  17119.380519151688
Testing 71.8057753164557 | Time:  17897.74071741104
Testing 73.93196202531645 | Time:  18676.16067838669
Testing 74.8318829113924 | Time:  19455.59667825699
Testing 74.58465189873418 | Time:  20234.19277524948
Testing 74.21875 | Time:  21013.10878610611
Testing 76.10759493670886 | Time:  21791.71653819084
Testing 73.16060126582279 | Time:  22569.784822702408
Testing 75.0988924050633 | Time:  23348.01672434807
Testing 76.53283227848101 | Time:  24126.412776708603
Testing 74.5945411392405 | Time:  24905.481008052826
Testing 76.54272151898734 | Time:  25684.3288667202
Testing 76.29549050632912 | Time:  26463.164773225784
Testing 75.52412974683544 | Time:  27241.97290968895
Testing 78.21400316455696 | Time:  28019.920709848404
Testing 77.45253164556962 | Time:  28798.212812662125
Testing 76.80973101265823 | Time:  29576.4528195858
Testing 77.82832278481013 | Time:  30355.848827123642
Testing 77.98655063291139 | Time:  31134.648775577545
Testing 75.13844936708861 | Time:  31913.556824684143
Testing 79.1435917721519 | Time:  32692.416979074478
Testing 79.6182753164557 | Time:  33470.44475769997
Testing 78.79746835443038 | Time:  34248.81682038307
Testing 79.32159810126582 | Time:  35027.09681415558
Testing 78.44145569620254 | Time:  35806.32890319824
Testing 79.71716772151899 | Time:  36585.18479847908
Testing 79.8556170886076 | Time:  37364.39279437065
Testing 81.02254746835443 | Time:  38143.19684410095
Testing 77.99643987341773 | Time:  38920.9528594017
Testing 78.7381329113924 | Time:  39699.33307123184
Testing 79.23259493670886 | Time:  40477.596886873245
Testing 79.63805379746836 | Time:  41256.81278848648
Testing 80.55775316455696 | Time:  42035.392984867096
Testing 80.78520569620254 | Time:  42814.55268573761
Testing 79.5886075949367 | Time:  43593.25272607803
Testing 80.58742088607595 | Time:  44371.30494475365
Testing 78.8073575949367 | Time:  45149.54881620407
Testing 79.09414556962025 | Time:  45928.12486624718
Testing 81.06210443037975 | Time:  46707.40080547333
Testing 80.82476265822785 | Time:  47486.084784030914
Testing 81.67523734177215 | Time:  48264.73277711868
Testing 79.90506329113924 | Time:  49043.64880609512
Testing 81.46756329113924 | Time:  49821.704765319824
Testing 81.03243670886076 | Time:  50600.00481462479
Testing 80.79509493670886 | Time:  51378.20076417923
Testing 80.72587025316456 | Time:  52157.416781663895
Testing 81.89280063291139 | Time:  52936.25665259361
Testing 81.85324367088607 | Time:  53715.23299241066
Testing 80.86431962025317 | Time:  54493.876849889755
Testing 81.9323575949367 | Time:  55271.91283130646
Testing 81.82357594936708 | Time:  56050.276854753494
Testing 81.6257911392405 | Time:  56828.8488945961
Testing 81.38844936708861 | Time:  57608.09275817871
Testing 82.02136075949367 | Time:  58386.98893594742
Testing 82.56526898734177 | Time:  59166.088829517365
Testing 81.50712025316456 | Time:  59944.71287679672
Testing 82.72349683544304 | Time:  60722.74890112877
Testing 81.36867088607595 | Time:  61500.77279639244
Testing 80.93354430379746 | Time:  62279.18474173546
Testing 82.56526898734177 | Time:  63058.32088637352
Testing 81.29944620253164 | Time:  63837.244982242584
Testing 82.58504746835443 | Time:  64616.02879476547
Testing 81.6257911392405 | Time:  65394.784737586975
Testing 81.45767405063292 | Time:  66172.75283789635
Testing 82.39715189873418 | Time:  66951.02463078499
Testing 83.39596518987342 | Time:  67729.46474957466
Testing 82.20925632911393 | Time:  68508.59692263603
Testing 82.01147151898734 | Time:  69287.34870553017
Testing 82.51582278481013 | Time:  70066.44498801231
Testing 81.95213607594937 | Time:  70845.28479075432
Testing 81.88291139240506 | Time:  71623.11266422272
Testing 81.36867088607595 | Time:  72401.27295637131
